source_repo,source_path,copied_path,run_id,api_or_local,model,benchmark,method,prompt_version,rows,has_required_columns,eval_ready_folder,notes
two-stage-prompting,/home/cotenthusiast/Projects/two-stage-prompting/runs/20260601_183346/20260601_183346_baseline_Qwen_Qwen2.5-7B-Instruct-Turbo_arc_challenge.csv,/home/cotenthusiast/Projects/two-stage-prompting/paper_results/eval_ready/paper_api_main/20260601_183346_baseline_Qwen_Qwen2.5-7B-Instruct-Turbo_arc_challenge.csv,20260601_183346,api,Qwen/Qwen2.5-7B-Instruct-Turbo,arc_challenge,baseline,v1,1000,True,paper_api_main,
two-stage-prompting,/home/cotenthusiast/Projects/two-stage-prompting/runs/20260601_183346/20260601_183346_baseline_Qwen_Qwen2.5-7B-Instruct-Turbo_arc_challenge.csv,/home/cotenthusiast/Projects/two-stage-prompting/paper_results/eval_ready/paper_combined_main/20260601_183346_baseline_Qwen_Qwen2.5-7B-Instruct-Turbo_arc_challenge.csv,20260601_183346,api,Qwen/Qwen2.5-7B-Instruct-Turbo,arc_challenge,baseline,v1,1000,True,paper_combined_main,
two-stage-prompting,/home/cotenthusiast/Projects/two-stage-prompting/runs/20260601_183346/20260601_183346_baseline_Qwen_Qwen2.5-7B-Instruct-Turbo_mmlu.csv,/home/cotenthusiast/Projects/two-stage-prompting/paper_results/eval_ready/paper_api_main/20260601_183346_baseline_Qwen_Qwen2.5-7B-Instruct-Turbo_mmlu.csv,20260601_183346,api,Qwen/Qwen2.5-7B-Instruct-Turbo,mmlu,baseline,v1,1000,True,paper_api_main,
two-stage-prompting,/home/cotenthusiast/Projects/two-stage-prompting/runs/20260601_183346/20260601_183346_baseline_Qwen_Qwen2.5-7B-Instruct-Turbo_mmlu.csv,/home/cotenthusiast/Projects/two-stage-prompting/paper_results/eval_ready/paper_combined_main/20260601_183346_baseline_Qwen_Qwen2.5-7B-Instruct-Turbo_mmlu.csv,20260601_183346,api,Qwen/Qwen2.5-7B-Instruct-Turbo,mmlu,baseline,v1,1000,True,paper_combined_main,
two-stage-prompting,/home/cotenthusiast/Projects/two-stage-prompting/runs/20260601_183346/20260601_183346_baseline_gemini-2.5-flash_arc_challenge.csv,/home/cotenthusiast/Projects/two-stage-prompting/paper_results/eval_ready/paper_api_main/20260601_183346_baseline_gemini-2.5-flash_arc_challenge.csv,20260601_183346,api,gemini-2.5-flash,arc_challenge,baseline,v1,1000,True,paper_api_main,
two-stage-prompting,/home/cotenthusiast/Projects/two-stage-prompting/runs/20260601_183346/20260601_183346_baseline_gemini-2.5-flash_arc_challenge.csv,/home/cotenthusiast/Projects/two-stage-prompting/paper_results/eval_ready/paper_combined_main/20260601_183346_baseline_gemini-2.5-flash_arc_challenge.csv,20260601_183346,api,gemini-2.5-flash,arc_challenge,baseline,v1,1000,True,paper_combined_main,
two-stage-prompting,/home/cotenthusiast/Projects/two-stage-prompting/runs/20260601_183346/20260601_183346_baseline_gemini-2.5-flash_mmlu.csv,/home/cotenthusiast/Projects/two-stage-prompting/paper_results/eval_ready/paper_api_main/20260601_183346_baseline_gemini-2.5-flash_mmlu.csv,20260601_183346,api,gemini-2.5-flash,mmlu,baseline,v1,1000,True,paper_api_main,
two-stage-prompting,/home/cotenthusiast/Projects/two-stage-prompting/runs/20260601_183346/20260601_183346_baseline_gemini-2.5-flash_mmlu.csv,/home/cotenthusiast/Projects/two-stage-prompting/paper_results/eval_ready/paper_combined_main/20260601_183346_baseline_gemini-2.5-flash_mmlu.csv,20260601_183346,api,gemini-2.5-flash,mmlu,baseline,v1,1000,True,paper_combined_main,
two-stage-prompting,/home/cotenthusiast/Projects/two-stage-prompting/runs/20260601_183346/20260601_183346_baseline_gpt-4.1-mini_arc_challenge.csv,/home/cotenthusiast/Projects/two-stage-prompting/paper_results/eval_ready/paper_api_main/20260601_183346_baseline_gpt-4.1-mini_arc_challenge.csv,20260601_183346,api,gpt-4.1-mini,arc_challenge,baseline,v1,1000,True,paper_api_main,
two-stage-prompting,/home/cotenthusiast/Projects/two-stage-prompting/runs/20260601_183346/20260601_183346_baseline_gpt-4.1-mini_arc_challenge.csv,/home/cotenthusiast/Projects/two-stage-prompting/paper_results/eval_ready/paper_combined_main/20260601_183346_baseline_gpt-4.1-mini_arc_challenge.csv,20260601_183346,api,gpt-4.1-mini,arc_challenge,baseline,v1,1000,True,paper_combined_main,
two-stage-prompting,/home/cotenthusiast/Projects/two-stage-prompting/runs/20260601_183346/20260601_183346_baseline_gpt-4.1-mini_mmlu.csv,/home/cotenthusiast/Projects/two-stage-prompting/paper_results/eval_ready/paper_api_main/20260601_183346_baseline_gpt-4.1-mini_mmlu.csv,20260601_183346,api,gpt-4.1-mini,mmlu,baseline,v1,1000,True,paper_api_main,
